gene,cluster,membership
MMP24OS,C3,0.9997906516825585
ESYT2,C2,0.9610530238975041
ILVBL,C2,0.8479264887064927
FSD2,C1,0.9953742745597661
TARS3,C3,0.9983438751416617
VWA8,C3,0.9996330649337609
CARNS1,C2,0.8175261670935805
MAP1LC3B2,C1,0.9942017093275188
PGP,C3,0.7410358730825224
DHRS7C,C4,0.6459434238134778
SMTNL1,C4,0.8838572321211766
NUDT19,C3,0.989461451909665
NACA,C2,0.9999832399651453
SLC35A4,C1,0.8878802335785677
PDLIM1,C1,0.8492050749800668
MYO1C,C2,0.8164499292436042
FXYD1,C2,0.6431906659625528
STXBP3,C1,0.6013559405720119
NDUFS8,C3,0.9998843967832564
PSMD11,C2,0.9493335082521238
PSMD12,C2,0.9915794054644883
PSMD9,C4,0.6366079370720356
PGRMC1,C4,0.7623739874876988
CLIC1,C2,0.8663193310091076
EIF3F,C2,0.9679875785591087
PDHX,C3,0.999998192327016
DCTN6,C2,0.9980511373568504
IPO5,C2,0.9124820017368689
EEF2K,C1,0.49241680263237964
EML1,C4,0.9811708767412074
DNM1L,C3,0.9671372550732218
RTCA,C3,0.9367193953230561
NDUFA4,C3,0.9998080958163639
PSMD14,C2,0.996984530028591
BIN1,C2,0.998558044122894
KPNA3,C2,0.997411959433452
DDX3X,C1,0.9946021825470744
KPNA4,C4,0.6966321027171561
CES2,C3,0.9052561115949226
FBP2,C4,0.9667592903028032
PDXK,C4,0.9730558467902597
SDHD,C3,0.9883691939187066
COX7A2L,C3,0.9977083418403935
GAPDHS,C4,0.5916202493729243
HSPB6,C2,0.5795261306272561
NDUFAB1,C3,0.9997725775127215
IMPA2,C4,0.9991452614909464
PDCD5,C4,0.6798806045489757
PRMT5,C2,0.806574085463815
PSMA7,C2,0.7233081306937111
OPLAH,C3,0.8685649208644829
MGST3,C3,0.7201266143902031
RGS12,C3,0.6851061283503278
HAT1,C2,0.49761224766528317
UQCRQ,C3,0.9999963512439316
MYL12B,C3,0.5389666732659587
UQCR11,C3,0.9998072201992868
CASQ2,C2,0.9983817802044033
HGS,C2,0.8727291574298358
HNRNPDL,C1,0.6974096082316885
XPO1,C4,0.9967039330290032
ATP2A1,C4,0.998170686195822
SYNJ2,C4,0.9949916714790303
SYNM,C1,0.9896748211017701
ARPC1B,C2,0.9806459703216334
ARPC2,C1,0.8465504241063104
PGRMC2,C2,0.9468207731204459
PFDN6,C4,0.5303328824691927
NDUFA1,C3,0.9299932998515735
SURF4,C2,0.9983864669191896
MAPK13,C4,0.9797510684845062
TCAP,C1,0.9987862962814181
PMM2,C2,0.6520958427853246
EIF3D,C1,0.9852647201816053
EIF3H,C2,0.5694539924204183
BCAT2,C3,0.9978428924335908
STX7,C2,0.9974858915452142
SLC16A3,C4,0.671902948087546
YKT6,C4,0.4190263788102117
ARPC5,C4,0.7295101096271442
TAPBP,C1,0.5140049390599015
DHX15,C4,0.8878531732878625
CYB5B,C2,0.6010212601362103
NDUFS4,C3,0.7454813174738069
DYNC1LI2,C2,0.7323492025754592
PSMD3,C2,0.5106938171259255
RASA4,C1,0.6267517649700067
HNRNPR,C2,0.4743070545005759
TXNL1,C2,0.6119303695375782
TPD52L2,C4,0.9019970575018963
ERI3,C2,0.48534252514452414
AKR7A2,C3,0.9994018213060406
LAT,C4,0.983245574098097
DENR,C1,0.9231496787560977
DNPH1,C4,0.7504417786065287
TIMM44,C3,0.9999950817564452
TRAPPC3,C2,0.7995190511417692
CHMP2A,C3,0.5480649973036196
NDUFB5,C3,0.9937927882128421
NDUFB3,C3,0.9991789578690295
NDUFA2,C3,0.9970522596601872
BUB3,C4,0.59517848413462
ACTN4,C1,0.999938131632332
GSTZ1,C2,0.8809256628314875
PRKAB2,C4,0.7562148031145283
AP1G1,C4,0.7926104769420692
SYNGR2,C2,0.7036905019329366
SGTA,C3,0.6678222201749044
ENSA,C1,0.8012988365252485
SLC25A20,C3,0.9999919835459289
NARS1,C2,0.9820277720992153
LANCL1,C4,0.5111229787714545
SLC37A4,C4,0.9515165560580514
IDH3B,C3,0.9999038707095596
CALU,C2,0.9775705197978505
AHCYL1,C2,0.9175359004559781
NDUFS5,C3,0.9741763391196137
TIMM8A,C3,0.6449518975700346
PPP1R12B,C2,0.9538896246948653
PRPSAP2,C4,0.4560984612857104
SPAG9,C2,0.9990384731204242
OPA1,C3,0.9999254767409991
TBC1D4,C4,0.6474350284696292
SNX3,C2,0.41896054042466085
SYNCRIP,C2,0.8901315721522941
SELENOF,C1,0.6264469354418797
KLHL41,C2,0.801821914814702
PLIN3,C2,0.9989506614579924
KPNA6,C2,0.9073344643778328
SNX2,C4,0.9454177960898043
USO1,C4,0.9998081481324803
TOM1,C4,0.9444589642915534
PFKFB2,C3,0.9999844193783036
EDF1,C2,0.9867011847891348
DNAJA2,C2,0.9990509836207434
CUTA,C2,0.5513630001670058
PFDN1,C4,0.6301420259638856
NOL3,C3,0.973113558786765
WDR1,C2,0.7302729852508154
LDB3,C1,0.9999988428375276
CLASP2,C3,0.9725632949529367
COBL,C4,0.5582629259299606
CPNE3,C2,0.5464982282086532
CLUH,C3,0.9994436436102403
CAND2,C2,0.9774817989467836
COQ9,C3,0.9918988962630695
GGCT,C4,0.9708932489890459
NDUFS7,C3,0.8975437705627525
RTN2,C2,0.9757946211649913
NDUFS2,C3,0.9041133458754281
NIPSNAP2,C3,0.9999815340026211
CILP,C1,0.9945568192252932
TBCA,C4,0.5045845735685147
ATP6V1G1,C2,0.9918507332301993
VPS4B,C4,0.630685672264108
MACROH2A1,C2,0.3890538169413139
SH3BGRL,C4,0.9650698621128633
FLNB,C2,0.9988475831629938
NDUFS6,C3,0.975340352268839
CS,C3,0.9999996539385752
SEC22B,C2,0.9954493955585948
MTX2,C3,0.6422728603906782
VPS26A,C2,0.7717356237795335
NDUFB1,C3,0.9755391758756063
PMPCB,C3,0.9977221536691999
NDUFS3,C3,0.9970520545778255
ECI2,C3,0.9998527481542838
BANF1,C1,0.9801211676013065
